1000,28,18,41,6,9,24,14,50,50,1,21,36,49,2
28,1000,2,4,19,5,38,39,25,15,36,19,8,46,30
18,2,1000,36,8,16,11,44,35,2,39,29,36,12,27
41,4,36,1000,13,48,21,22,10,9,50,27,6,48,1
6,19,8,13,1000,36,14,25,31,42,20,42,1,3,24
9,5,16,48,36,1000,14,13,46,38,1,17,15,20,25
24,38,11,21,14,14,1000,10,38,34,15,34,43,1,14
14,39,44,22,25,13,10,1000,15,21,4,26,49,34,50
50,25,35,10,31,46,38,15,1000,41,39,27,10,40,3
50,15,2,9,42,38,34,21,41,1000,21,11,36,29,5
1,36,39,50,20,1,15,4,39,21,1000,7,24,34,25
21,19,29,27,42,17,34,26,27,11,7,1000,28,6,17
36,8,36,6,1,15,43,49,10,36,24,28,1000,26,11
49,46,12,48,3,20,1,34,40,29,34,6,26,1000,44
2,30,27,1,24,25,14,50,3,5,25,17,11,44,1000
